Tanggal ,Total Penjualan
22/06/2025,61
23/06/2025,39
24/06/2025,70
25/06/2025,30
26/06/2025,42
27/06/2025,40
28/06/2025,18
29/06/2025,0
30/06/2025,0
01/07/2025,0
02/07/2025,75
03/07/2025,50
04/07/2025,75
05/07/2025,50
06/07/2025,0
07/07/2025,70
08/07/2025,30
09/07/2025,90
10/07/2025,35
11/07/2025,55
12/07/2025,70
13/07/2025,0
14/07/2025,75
15/07/2025,25
16/07/2025,75
17/07/2025,25
18/07/2025,32
19/07/2025,58
20/07/2025,35
21/07/2025,70
22/07/2025,30
23/07/2025,82
24/07/2025,18
25/07/2025,32
26/07/2025,8
27/07/2025,60
28/07/2025,75
29/07/2025,25
30/07/2025,113
31/07/2025,7
01/08/2025,32
02/08/2025,48
03/08/2025,0
04/08/2025,60
05/08/2025,0
06/08/2025,0
07/08/2025,0
08/08/2025,40
09/08/2025,0
10/08/2025,0
11/08/2025,40
12/08/2025,60
13/08/2025,40
14/08/2025,80
15/08/2025,65
16/08/2025,0
17/08/2025,60
18/08/2025,80
19/08/2025,20
20/08/2025,50
21/08/2025,0
22/08/2025,95
23/08/2025,30
24/08/2025,0
25/08/2025,80
26/08/2025,0
27/08/2025,80
28/08/2025,0
29/08/2025,80
30/08/2025,0
31/08/2025,0
01/09/2025,100
02/09/2025,0
03/09/2025,56
04/09/2025,44
05/09/2025,64
06/09/2025,36
07/09/2025,0
08/09/2025,64
09/09/2025,36
10/09/2025,61
11/09/2025,39
12/09/2025,75
13/09/2025,25
14/09/2025,0
15/09/2025,80
16/09/2025,0
17/09/2025,100
18/09/2025,0
19/09/2025,100
20/09/2025,0
21/09/2025,0
22/09/2025,87
23/09/2025,13
24/09/2025,100
25/09/2025,0
26/09/2025,21
27/09/2025,21
28/09/2025,38
29/09/2025,80
30/09/2025,0
